PC1,PC2,Cluster
0.7591954531014022,-2.362409807393698,1
1.126154427090556,-0.24154967284738027,2
1.5818570791553346,0.8997190133594004,2
0.012707957786150614,1.0416803382205113,2
-2.923332603122801,1.2515512398217308,0
-1.7241277534607158,-2.3129549449067155,0
-2.58458150976676,0.8926231993040362,0
0.9314157305076184,1.0749779847648353,2
-1.0977142861126583,-0.01079271137103214,0
-3.048994268666538,0.4308551625943087,0
-0.24936822907008804,2.5306314222944346,2
0.25335176301393253,-1.1398934838393204,1
-1.188853933977325,-3.3413046066099277,1
-0.10760978548968296,2.4290152121457544,2
1.6438838722273006,0.5304654689417003,2
-4.078912169200638,1.7776158668097277,0
3.6060683896806567,0.7049828964581912,2
-2.066215837199007,-0.7915630256666457,0
2.6815559583869795,-2.027260067910505,1
3.3485991930570487,0.7096913972309975,2
1.5207387779213042,1.4613170644133733,2
-0.8369139111189325,1.413878757770214,0
1.2250475230715874,4.573278870577819,2
-3.049622133551409,-1.6134992290568595,0
-1.3707612206629738,-1.6293351073766227,0
-0.004884353976258958,1.3011494497445804,2
4.254112297850835,0.718481641144818,2
-0.725535183382765,1.4078328453885811,0
1.4782574862343072,3.831012704531721,2
-2.436884523997234,-0.5587256682563847,0
2.1895096261906986,0.1389468896392904,2
2.6163674493802307,-0.042743262100429086,2
-0.8989735237797527,0.5251228930615519,0
4.191533612312092,-1.6606071314974957,1
0.26336184684863795,-2.8695329435657704,1
3.2153699768368433,1.3806156853864275,2
1.2696405257700583,4.687143618467936,2
-0.7862078927871312,-1.74393014463428,1
-0.6071095901451462,1.4986694098067521,0
-0.12528748356867997,0.33703545779678157,0
0.38328578392711404,-3.344584493316771,1
-0.7373740409624476,-0.39416177509438394,0
-0.24400876633253554,-4.203207376317674,1
-0.950097654820301,-1.2235478243372293,0
-1.201996002399992,-1.9406171922701698,0
4.721145019363844,-1.1706238052194937,1
-1.0647374449581246,-3.3834388350134628,1
1.7487492609644832,-0.3876856621301752,1
-1.6105644956326188,-1.741975510293265,0
2.459558098085087,0.5985699901620392,2
3.697445625710813,-0.06565741042777029,2
0.1328064683137074,0.3823721871074433,0
-1.8834174100185803,-2.1362768517780717,0
-0.6818562039813562,0.14626343417123053,0
-3.656058399885343,2.2282820756629693,0
-1.0117521368880655,1.3714085256780353,0
